S.No,actual,pred,alive,plod,name,title,male,culture,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive
1,0,0,0.054,0.946,Viserys II Targaryen,Lord of the seven kingdoms,1,Valyrian,,,0,0,0,0,0,1,0,0,,0,0,11,1,1,0.6053511706,0
2,1,0,0.387,0.613,Walder Frey,Lord of the Crossing,1,Rivermen,House Frey,Perra Royce,1,1,1,1,1,,,,1,1,1,1,1,1,0.8963210702,1
3,1,0,0.493,0.507,Addison Hill,Lord Commander,1,Valyrian,House Swyft,Kitty Frey,0,0,0,1,0,0,0,,1,0,1,0,0,0,0.2675585284,1
4,0,0,0.076,0.924,Aemma Arryn,Queen Consort,0,Andal,House Arryn,Viserys I Targaryen,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.1839464883,0
5,1,1,0.617,0.383,Sylva Santagar,Greenstone,0,Dornish,House Santagar,Eldon Estermont,0,0,0,1,0,,,,1,1,1,0,0,0,0.04347826087,1
6,1,0,0.021,0.979,Tommen Baratheon,King,1,Andal,House Lannister,,0,0,0,0,0,1,1,1,,0,0,5,1,1,1,1
7,0,0,0.014,0.986,Valarr Targaryen,Hand of the King,1,Valyrian,House Targaryen,Kiera of Tyrosh,0,0,0,0,0,,,,1,1,1,0,0,1,0.4314381271,0
8,0,0,0.036,0.964,Viserys I Targaryen,King of the Andals,1,Valyrian,House Targaryen,Aemma Arryn,0,0,0,0,0,1,1,1,,0,0,5,1,1,0.6789297659,0
9,0,1,0.724,0.276,Wilbert,Ser,1,Andal,,,0,0,1,0,0,,,,,0,1,0,0,0,0.006688963211,0
10,1,0,0.391,0.609,Wilbert Osgrey,Ser,1,Andal,House Tyrell,,0,0,0,0,0,,,,,0,1,0,0,0,0.02006688963,1
11,0,0,0.167,0.833,Will,Unknown,1,Andal,Night's Watch,,1,1,0,0,0,,,,,0,0,0,0,0,0.1638795987,0
12,1,1,0.985,0.015,Will (orphan),Unknown,0,Andal,,,0,0,0,1,0,,,,,0,0,0,0,0,0.003344481605,1
13,1,1,0.813,0.187,Will (squire),Unknown,1,Andal,,,0,0,0,0,0,,,,,0,0,0,0,0,0.003344481605,1
14,1,1,0.747,0.253,Will (Standfast),Unknown,0,Andal,House Osgrey,,0,0,0,0,0,,,,,0,0,0,0,0,0.003344481605,1
15,1,1,0.705,0.295,Will (Treb),Unknown,1,Andal,House Osgrey,,0,0,0,0,0,,,,,0,0,0,0,0,0.003344481605,1
16,1,1,0.996,0.004,Will Humble,Unknown,1,Ironborn,House Humble,,0,0,0,1,0,,,,,0,0,0,0,0,0.01337792642,1
17,1,1,0.984,0.016,Willam,Unknown,1,Andal,,,0,0,0,1,0,,,,,0,0,0,0,0,0.01337792642,1
18,1,1,0.604,0.396,Willem Wylde,Kingsguard ,1,Andal,House Baratheon,,0,0,0,0,0,,,,,0,1,0,0,0,0.02006688963,1
19,1,1,0.998,0.002,Willifer,Archmaester,0,Andal,,,0,0,0,1,0,,,,,0,1,0,0,0,0.006688963211,1
20,1,1,0.922,0.078,Willit,Unknown,1,Andal,House Swyft,,0,1,0,0,0,,,,,0,0,0,0,0,0.01003344482,1
21,1,1,0.974,0.026,Willis Wode,Ser,1,Andal,House Tully,,1,0,0,1,0,,,,,0,1,0,0,0,0.02006688963,1
22,1,0,0.022,0.978,Willis Fell,Ser,0,,House Fell,,0,0,0,0,0,,,,,0,1,0,0,0,0.02341137124,1
23,1,1,0.768,0.232,Willow Heddle,Unknown,0,,Brotherhood Without Banners,,0,0,0,1,0,,,,,0,0,0,0,0,0.03344481605,1
24,1,1,0.561,0.439,Willum,Ser,1,,,,1,0,0,0,0,,,,,0,1,0,0,0,0,1
25,1,1,0.936,0.064,Wolmer,Unknown,1,,House Webber,,0,0,0,0,0,,,,,0,0,0,0,0,0.003344481605,1
26,0,0,0.217,0.783,Willow Witch-eye,Vassal,0,Free Folk,,,0,0,0,0,1,,,,,0,0,0,0,0,0.05016722408,0
27,0,0,0.193,0.807,Woth,Vassal,1,,,,0,1,0,0,0,,,,,0,0,0,0,0,0.03010033445,0
28,1,1,0.71,0.29,Wulfe,Vassal,1,Ironborn,House Greyjoy,,0,0,0,1,1,,,,,0,0,0,0,0,0.02341137124,1
29,1,1,0.809,0.191,Wyl the Whittler,,0,Andal,,,0,0,1,0,0,,,,,0,0,0,0,0,0.006688963211,1
30,0,0,0.203,0.797,Wyl (guard),Vassal,0,Northmen,House Stark,,1,0,0,0,0,,,,,0,0,0,0,0,0.02675585284,0
31,0,1,0.908,0.092,Wyl Waynwood,Soldier,0,,House Waynwood,,0,0,0,0,0,,,,,0,0,0,0,0,0.01337792642,0
32,1,0,0.155,0.845,Wun Weg Wun Dar Wun,,1,Giant,,,0,0,0,0,1,,,,,0,0,0,0,0,0.05016722408,1
33,1,0,0.107,0.893,Wylla,,1,,House Dayne,,1,0,1,0,0,,,,,0,0,0,0,0,0.02675585284,1
34,1,1,0.835,0.165,Wynafryd Manderly,Lady,0,Rivermen,House Manderly,,0,0,0,1,1,,,,,0,0,0,0,0,0.05685618729,1
35,1,1,0.996,0.004,Xhondo,,1,Summer Isles,,,0,0,0,1,0,,,,,0,0,0,0,0,0.02006688963,1
